110001101,Break01,1,,,,PHYSIC,FIGHTER,0.77,3,1,2.25,,,5,,,,,,,,,,,,,1,1,1,0,1,1,ENEMY,0,,1,,WEAPON,1,1,
110001201,Break02,1,,,,MAGIC,,0.6,0,0,1,,,,,,,,,,,,,,,,2,2,1,0,0,1,ENEMY,0,,,,DIRECT,
110012101,Test Protect,1,,,,OTHER,,0,0,,,,,,,,,,,,,,,,,,,,1,0,0,1,ALL,0,,,,SELF,
110012201,Test 2 Protect,1,,,,OTHER,,0,0,,,,,,,,,,,,,,,,,,,,1,0,0,1,ALL,0,,,,SELF,
101000006,Test Molito,1,,,,MAGIC,,1.2,0,,1,,,,5,,,,,,,,,,,,2,2,1,0,0,1,ENEMY,0,,,,FREE,2000,100,,,Effect Time,15,
101000007,Test Curaga,1,,,,PHYSIC,,0.6,0,,1,,,,,,,,,,,,,,,,2,2,1,0,0,1,ALLY,0,,,,OBJECT,1000,,,,Effect Time,0,
101000008,Test Di,1,,,,MAGIC,,3,0,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,ALLY,0,,,,OBJECT,10,,,,Effect Time,30,
101000009,Test Mid-Di,1,,,,MAGIC,,5,0,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,ALLY,0,,,,OBJECT,10,,,,Effect Time,1,
101000010,Test Big-Di,1,,,,MAGIC,,7,0,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,ALLY,0,,,,OBJECT,10,,,,Effect Time,1,
101000011,Test Super-Di,1,,,,MAGIC,,7,0,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,ALLY,0,,,,OBJECT,10,,,,Effect Time,1,
101000012,Test Attack 01,1,,,,PHYSIC,,0,1,3,2.25,,,5,,,,,,,,,,,,,0,0,1,0,0,1,ENEMY,0,,,,WEAPON,3,1,
102000012,Test Attack 02,1,,,,PHYSIC,,0,1,4,2.25,,,5,,,,,,,,,,,,,0,0,1,0,0,1,ENEMY,0,,,,WEAPON,4,1,
103000012,Test Attack 03,1,,,,PHYSIC,,0,1,5,2.25,,,5,,,,,,,,,,,,,0,0,1,0,0,1,ENEMY,0,,,,WEAPON,5,1,
101000013,Test Instant Death,1,,,,MAGIC,,0.6,0,,,,,,,,,,,,,,,,,,2,2,1,0,0,1,ENEMY,0,,,,OBJECT,1000,,,,Effect Time,1,
101000014,Test Drop Rate 100%,1,,,,OTHER,,0,0,,,,,,,,,,,,,,,,,,,,1,0,0,1,ALL,0,,,,SELF,
